Team,Wins
Draw,199
Brazil,73
Germany,67
Italy,45
Argentina,43
France,34
Spain,30
England,29
Netherlands,27
Uruguay,24
Belgium,20
Sweden,19
Russia,19
Mexico,16
Poland,16
Hungary,15
Yugoslavia,14
Portugal,14
Austria,12
Switzerland,12
Chile,11
Czechoslovakia,11
Croatia,11
Denmark,9
Colombia,9
USA,8
Romania,8
Paraguay,7
Nigeria,6
Korea Republic,6
Turkey,5
Peru,5
Costa Rica,5
Japan,5
Scotland,4
Cameroon,4
Serbia,4
Ecuador,4
Ghana,4
Northern Ireland,3
Algeria,3
Saudi Arabia,3
Bulgaria,3
Senegal,3
Ivory Coast,3
German DR,2
Tunisia,2
Morocco,2
Ireland,2
Norway,2
Iran,2
South Africa,2
Australia,2
Ukraine,2
Greece,2
Cuba,1
Wales,1
Korea DPR,1
Jamaica,1
Czech Republic,1
Slovenia,1
Slovakia,1
Bosnia-Herzegovina,1
